sample,condition
rbf.rep.1.tp.1.clean,rbf.tp1
rbf.rep.2.tp.1.clean,rbf.tp1
rbf.rep.3.tp.1.clean,rbf.tp1
rbf.rep.1.tp.2.clean,rbf.tp2
rbf.rep.2.tp.2.clean,rbf.tp2
rbf.rep.3.tp.2.clean,rbf.tp2
rbf.rep.1.tp.3.clean,rbf.tp3
rbf.rep.2.tp.3.clean,rbf.tp3
rbf.rep.3.tp.3.clean,rbf.tp3
rbf.rep.1.tp.4.clean,rbf.tp4
rbf.rep.2.tp.4.clean,rbf.tp4
rbf.rep.3.tp.4.clean,rbf.tp4
trna.rep.1.tp.1.clean,trna.tp1
trna.rep.2.tp.1.clean,trna.tp1
trna.rep.3.tp.1.clean,trna.tp1
trna.rep.1.tp.2.clean,trna.tp2
trna.rep.2.tp.2.clean,trna.tp2
trna.rep.3.tp.2.clean,trna.tp2
trna.rep.1.tp.3.clean,trna.tp3
trna.rep.2.tp.3.clean,trna.tp3
trna.rep.3.tp.3.clean,trna.tp3
trna.rep.1.tp.4.clean,trna.tp4
trna.rep.2.tp.4.clean,trna.tp4
trna.rep.3.tp.4.clean,trna.tp4
